Twitter Handle,Name,Sex,Birthdate,Announcement,Party,City of Residence,State of Residence,No. of Children,Latitude,Longitude
@sethmoulton,Seth Moulton,M,24-Oct-78,22-Apr-19,D,Salem,MA,1,42.5195,70.8967
@SenGillibrand,Kirsten Gillibrand,F,9-Dec-66,15-Jan-19,D,New York,NY,2,40.7128,74.006
@Hickenlooper,John Hickenlooper,M,7-Feb-52,4-Mar-19,D,Denver,CO,1,39.7392,104.9903
@JohnDelaney,John Delaney,M,16-Apr-63,10-Aug-17,D,Chevy Chase,MD,4,38.9693,77.0789
@KamalaHarris,Kamala Harris,F,20-Oct-64,21-Jan-19,D,San Francisco,CA,0,37.7749,122.4194
@JoeBiden,Joe Biden,M,20-Nov-42,25-Apr-19,D,Wilmington,DE,4,39.7447,75.5484
@TimRyan,Tim Ryan,M,16-Jul-73,4-Apr-19,D,Howland,OH,1,41.2576,80.7325
@ewarren,Elizabeth Warren,F,22-Jun-49,9-Feb-19,D,Cambridge,MA,2,42.3736,71.1097
@realDonaldTrump,Donald Trump,M,14-Jun-46,,R,New York,NY,5,40.7128,74.006
@JulianCastro,Julian Castro,M,16-Sep-74,12-Jan-19,D,San Antonio,TX,2,29.4241,98.4936
@BilldeBlasio,Bill de Blasio,M,8-May-61,16-May-19,D,New York,NY,2,40.7128,74.006
@marwilliamson,Marianne Williamson,F,8-Jul-52,28-Jan-19,D,Houston ,TX,1,29.7604,95.3698
@BernieSanders,Bernie Sanders,M,8-Sep-41,19-Feb-19,D,Vermont,VT,4,44.5588,72.5778
@CoryBooker,Cory Booker,M,27-Apr-69,1-Feb-19,D,Newark,NJ,0,40.7357,74.1724
@mike_pence,Mike Pence,M,7-Jun-59,,R,Columbus,IN,3,39.2014,85.9214
@AndrewYang,Andrew Yang,M,13-Jan-75,6-Nov-17,D,New York,NY,2,40.7128,74.006
@ericswalwell,Eric Swalwell,M,16-Nov-80,8-Apr-19,D,Pleasanton,CA,2,37.6604,121.8758
@MikeGravel,Mike Gravel,M,13-May-30,2-Apr-19,D,Burlingame,CA,2,37.5779,122.3481
@JayInslee,Jay Inslee,M,9-Feb-51,1-Mar-19,D,Olympia,WA,3,47.0379,122.9007
@GovernorBullock,Steve Bullock,M,11-Apr-66,14-May-19,D,Helena,MT,3,46.5891,112.0391
@MichaelBennet,Michael Bennet,M,28-Nov-64,2-May-19,D,Denver ,CO,3,39.7392,104.9903
@BetoORourke,Beto O'Rourke,M,26-Sep-72,14-Mar-19,D,El Paso,TX,3,31.7619,106.4845
@PeteButtigieg,Pete Buttigieg,M,19-Jan-82,23-Jan-19,D,South Bend,IN,0,41.6764,86.252
@TulsiGabbard,Tulsi Gabbard,F,12-Apr-81,11-Jan-19,D,Honolulu,HI,0,21.3069,157.8583
@amyklobuchar,Amy Klobuchar,F,25-May-60,10-Feb-19,D,Minneapolis,MN,1,44.9778,93.265
@WayneMessam,Wayne Messam,M,7-Jun-74,13-Mar-19,D,Miramar,FL,3,25.9861,80.3036
@GovBillWeld,Bill Weld,M,31-Jul-45,15-Apr-19,R,New York,NY,5,40.7128,74.006
