STATE,Total population,Total citizen population,Total Registered,Percent registered,Margin of Error
ALABAMA,"3,753","3,609","2,490",66.4,2.5
ALASKA,523,497,337,64.4,2.7
ARIZONA,"5,361","4,757","3,262",60.8,2.2
ARKANSAS,"2,261","2,158","1,262",55.8,2.7
CALIFORNIA,"30,243","25,525","15,690",51.9,1
COLORADO,"4,353","4,029","2,645",60.8,2.5
CONNECTICUT,"2,834","2,539","1,726",60.9,2.6
DELAWARE,756,713,472,62.4,2.6
DISTRICT OF COLUMBIA,567,512,397,70,2.5
FLORIDA,"16,845","15,047","9,435",56,1.2
GEORGIA,"7,850","7,311","4,840",61.7,1.8
HAWAII,"1,057",971,523,49.5,2.7
IDAHO,"1,299","1,226",743,57.2,2.7
ILLINOIS,"9,732","8,947","6,068",62.4,1.6
INDIANA,"5,006","4,792","3,131",62.5,2.2
IOWA,"2,376","2,239","1,658",69.8,2.6
KANSAS,"2,149","2,026","1,449",67.4,2.8
KENTUCKY,"3,370","3,249","2,389",70.9,2.6
LOUISIANA,"3,458","3,326","2,263",65.4,2.6
MAINE,"1,074","1,056",828,77.1,2.6
MARYLAND,"4,666","4,281","3,095",66.3,2.3
MASSACHUSETTS,"5,460","4,919","3,345",61.3,2.2
MICHIGAN,"7,657","7,430","5,453",71.2,1.7
MINNESOTA,"4,238","4,006","3,000",70.8,2.3
MISSISSIPPI,"2,194","2,178","1,599",72.9,2.5
MISSOURI,"4,676","4,564","3,299",70.6,2.2
MONTANA,822,812,579,70.4,2.3
NEBRASKA,"1,428","1,332",883,61.9,2.8
NEVADA,"2,324","2,067","1,277",55,2.7
NEW HAMPSHIRE,"1,080","1,025",726,67.2,2.6
NEW JERSEY,"7,009","6,267","4,297",61.3,1.9
NEW MEXICO,"1,576","1,485",916,58.1,2.5
NEW YORK,"15,478","13,684","8,553",55.3,1.3
NORTH CAROLINA,"7,911","7,444","5,160",65.2,1.8
NORTH DAKOTA,560,541,397,70.9,2.5
OHIO,"8,873","8,640","6,062",68.3,1.6
OKLAHOMA,"2,868","2,732","1,777",62,2.9
OREGON,"3,293","3,138","2,274",69.1,2.6
PENNSYLVANIA,"9,928","9,475","6,469",65.2,1.6
RHODE ISLAND,828,782,532,64.2,2.7
SOUTH CAROLINA,"3,914","3,769","2,430",62.1,2.5
SOUTH DAKOTA,648,637,429,66.2,2.7
TENNESSEE,"5,202","5,016","3,183",61.2,2.2
TEXAS,"21,064","18,374","11,634",55.2,1.1
UTAH,"2,247","2,109","1,443",64.2,2.2
VERMONT,503,497,343,68.1,2.9
VIRGINIA,"6,386","5,773","4,159",65.1,2
WASHINGTON,"5,775","5,228","3,852",66.7,2.1
WEST VIRGINIA,"1,406","1,384",892,63.4,2.8
WISCONSIN,"4,436","4,296","3,129",70.5,2.3
WYOMING,430,422,268,62.4,2.9
